Blog	yet	week	real	heart	both	him	times	once	such	did	without	doesn	city	found	young	lot	name	track	bit	because	pretty	black	any	friends	everything	its	different	lost	why	play	high	came	red	until	three	white	enough	point	went	kind	tell	b	fun	hard	light	does	left	free	didn	set	head	sounds	bad	far	past	sometimes	put	each	together	maybe	might	dark	th	between	along	doing	early	said	thought	morning	blue	happy	pop	beautiful	used	least	quite	group	girl	sure	video	anything	change	four	single	played	summer	art	couple	john	coming	later	school	makes	give	late	record	face	though	style	ago	dance	probably	words	almost	yes	dead	sun	story	turn	wasn	fire	friend	run	fall	help	side	eyes	under	release	soul	perfect	stuff	start	room	listen	whole	remember	half	comes	hear	oh	heard	looking	records	radio	myself	favorite	actually	call	blog	getting	tracks	guitar	released	cover	line	won	already	having	playing	course	often	called	feeling	working	close	e	making	version	future	number	trying	took	someone	try	done	saw	break	hit	hand	list	sense	voice	isn	idea	la	bands	death	family	o	self	hope	shows	read	recorded	stop	felt	moment	dream	believe	cool	five	lyrics	finally	use	small	american	stay	stage	everyone	r	sort	country	st	rest	months	listening	taken	punk	anyone	deep	below	beat	must	return	experience	baby	yeah	moon	rather	sweet	during	street	project	open	true	seen	talk	either	watch	seems	gets	major	less	club	write	albums	front	artists	super	writing	become	party	across	picture	nice	gone	hours	david	anyway	classic	started	instead	note	age	fan	order	clear	wanted	check	singer	worth	musical	star	boy	bob	tour	cut	short	solo	machine	original	space	else	follow	recently	beach	hell	seem	decided	taking	knows	haven	yourself	title	miss	final	waiting	book	wrong	vocals	month	however	king	perhaps	sea	green	girls	behind	works	enjoy	god	talking	low	soon	reason	game	london	trip	hot	debut	easy	slow	wait	especially	mark	road	others	sing	ones	following	feels	special	amazing	case	local	seeing	matter	guys	previous	leave	move	history	mix	including	artist	mean	complete	couldn	singing	able	itself	guy	heavy	weekend	recent	cold	attention	reading	audience	blood	wish	several	drive	fact	bring	certainly	important	simple	wouldn	straight	alone	power	word	definitely	please	lead	needed	saying	turned	stars	bass	label	goes	link	near	com	rain	mostly	written	form	shit	themselves	minutes	studio	inside	guess	means	air	ready	based	simply	boys	although	given	outside	known	material	walk	sad	blues	indie	james	whatever	exactly	die	living	earlier	energy	york	kids	door	scene	l	born	lives	men	deal	interesting	n	electric	job	liked	town	mr	happen	forever	against	dreams	hold	etc	told	x	ride	piece	running	sleep	wild	minute	huge	wave	third	personal	wonder	u	entire	somewhere	december	himself	pink	sunday	spent	forward	due	example	gold	person	car	takes	hands	weeks	modern	mine	fans	watching	wall	knew	review	upon	paul	eventually	state	above	looks	longer	water	c	sky	west	places	thanks	non	fantastic	performance	needs	despite	g	opening	theme	de	ep	touch	moved	broken	national	ten	series	worked	brilliant
Steel City Rust	3	2	7	1	3	7	2	3	10	4	8	4	2	7	6	6	3	11	5	9	13	3	10	2	3	6	5	1	3	1	5	6	3	2	0	0	9	7	7	3	3	2	11	4	0	8	6	3	11	1	2	3	4	3	1	3	4	0	3	8	9	6	3	3	3	2	4	6	5	0	8	3	10	2	4	5	8	5	1	6	2	4	2	2	3	2	1	3	4	2	4	4	1	12	1	5	11	1	5	2	2	0	2	1	4	5	0	0	5	9	2	0	0	4	0	3	6	0	2	4	1	2	5	5	1	6	2	3	2	2	1	1	10	4	3	0	3	6	18	2	1	4	3	5	0	2	6	1	3	2	1	3	2	0	4	2	3	4	2	0	0	4	0	3	3	0	3	2	2	2	0	1	4	3	2	5	0	2	0	1	4	3	0	5	7	2	1	2	1	0	3	4	0	1	2	3	1	1	0	0	2	2	3	0	1	1	0	1	2	3	0	7	0	2	2	4	7	0	4	1	7	1	1	1	0	0	1	2	0	5	4	5	1	4	2	0	2	2	1	0	3	1	3	1	1	2	5	1	0	1	0	3	2	0	0	2	0	5	2	1	3	2	1	3	3	2	0	2	2	3	2	3	5	1	1	1	2	0	1	2	1	1	0	1	2	2	2	0	4	0	0	7	1	1	2	0	0	0	0	5	4	2	0	4	1	1	1	1	0	3	1	3	1	2	2	8	1	2	1	0	4	1	2	0	0	2	1	1	0	2	2	2	2	3	2	0	1	5	1	1	0	4	2	2	0	2	1	0	0	3	0	0	0	1	5	3	1	3	2	1	2	1	2	5	1	2	1	5	0	1	6	0	3	0	2	3	3	0	0	1	1	2	1	0	0	2	1	2	1	0	3	1	6	2	3	1	1	0	1	0	0	4	1	0	1	1	0	0	1	3	0	1	2	1	0	1	3	1	0	6	2	0	5	6	1	0	0	0	3	0	2	0	2	0	1	4	4	0	0	0	1	0	1	3	3	0	1	1	1	1	1	0	1	0	1	2	2	0	1	0	1	5	1	0	2	2	0	3	2	0	1	2	1	3	2	0	0	1	0	1	1	5	2	4	1	0	8	3	1	0	1	0	2	0	0	2	5	5	1	0
MR. BEAUTIFUL TRASH ART	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
60@60 Sounding Booth	3	0	4	8	0	1	1	2	0	0	1	0	8	0	9	5	2	0	0	1	0	16	1	1	4	0	2	1	3	3	1	0	4	2	1	6	0	0	1	1	1	3	2	0	7	0	0	4	1	7	1	0	4	0	3	1	0	0	3	2	2	3	2	1	3	0	2	0	1	1	13	1	0	3	0	0	0	0	9	0	0	1	0	0	1	1	3	1	0	12	1	0	2	2	0	5	0	2	0	1	0	2	0	0	0	1	4	3	3	4	0	11	4	5	2	1	2	6	4	0	2	1	2	3	1	0	0	1	2	3	1	1	1	1	2	1	0	3	0	1	0	0	2	1	28	3	0	2	0	0	0	2	0	1	0	0	0	2	0	1	1	1	0	0	1	0	0	1	1	1	0	0	2	0	0	0	2	1	1	1	4	0	0	0	3	0	1	0	1	4	2	2	0	0	0	0	0	2	1	5	1	0	1	5	1	0	0	0	0	1	0	0	0	2	1	1	1	8	0	5	0	3	0	2	0	2	2	1	1	0	0	0	0	0	0	3	0	25	0	0	0	0	0	1	1	2	0	5	0	13	0	6	0	0	0	1	1	1	0	0	0	1	0	0	9	2	6	1	2	1	0	2	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	3	3	0	1	0	0	3	0	3	3	3	0	0	0	4	0	3	1	2	0	2	0	3	1	2	1	0	1	1	1	0	3	1	0	2	1	0	0	0	0	0	0	0	1	1	0	10	0	0	1	0	1	0	0	0	0	2	1	2	0	0	1	0	5	1	0	1	0	3	1	0	0	0	0	4	1	1	0	3	0	0	0	1	1	0	0	2	0	0	0	2	3	0	0	0	0	0	0	1	1	0	0	4	0	0	5	0	0	1	1	0	1	0	7	4	2	1	0	0	0	0	0	2	1	0	0	3	3	1	1	0	1	0	6	0	0	1	1	3	3	0	6	0	2	0	2	1	0	0	1	3	1	0	1	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	7	0	0	0	0	0	1	7	1	1	0	0	2	0	0	0	0	3	0	0	0	0	1	0	1	0	0	11	0	0
ORGANMYTH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0
MarkEOrtega's Journalism Portfolio	0	5	0	0	2	0	0	2	0	0	0	1	0	2	0	1	0	1	0	1	2	1	1	3	0	2	1	0	0	4	2	1	5	0	1	0	1	0	1	0	1	0	0	1	0	0	2	0	1	6	1	1	0	0	2	2	1	2	0	0	1	0	1	0	1	0	1	0	0	1	0	0	10	0	0	0	1	3	0	1	0	0	0	3	1	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	3	1	0	3	1	1	2	0	0	0	0	0	0	1	1	0	1	3	0	0	0	0	0	0	0	0	1	0	1	25	0	0	1	0	0	0	0	0	0	2	0	1	0	1	1	0	0	2	9	1	0	0	0	0	0	4	24	0	0	0	0	0	0	0	3	0	2	0	1	1	0	3	0	0	1	0	1	25	0	0	0	1	1	2	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	3	0	0	0	2	2	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	1	2	1	0	3	2	3	2	1	0	3	5	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	2	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	10	0	0	0	1	4	1	1	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	3	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	2	0	0	0	2	0	1	0	0	0	1	0	0	0	2	0	1	1	0	1	0	1	0	0	1	0	0	1	2	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	3	0	0	0	4	0	1	3	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	5	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0
Green Eggs and Ham Mondays 8-10am	0	0	2	4	0	0	1	0	0	0	1	0	11	2	12	0	1	3	0	0	1	3	1	0	1	0	0	1	5	1	1	0	2	0	1	4	0	0	0	0	2	0	1	0	4	0	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	11	4	0	0	0	0	10	0	4	5	1	1	0	0	0	0	3	5	0	0	2	2	0	0	4	1	0	0	3	0	1	2	1	3	0	0	0	0	5	0	3	0	0	0	1	5	5	0	2	0	7	0	0	1	1	0	3	1	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	2	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	1	0	0	0	1	0	0	1	0	1	2	0	0	0	0	5	0	7	4	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	1	1	0	5	0	3	0	0	4	4	2	0	0	3	0	0	0	1	0	0	7	0	0	0	1	0	0	2	1	0	0	0	1	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	10	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	4	3	1	2	0	0	1	0	0	0	0	2	0	0	3	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	10	0	2	0	0	1	2	0	2	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	2	0	0	4	1	0	0	0	2	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	1	0	0	0	0	3	0	1	1	0	1	0	0	0	0	1	0	0	3	1	0	0	0	0	0	3	0	0	1	0	0	2	0	2	1	0	0	1	2	0	0	4	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	4	0	4	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	5	0	0	0	0	0
GLI Press	0	19	0	2	0	1	0	0	0	0	0	0	1	0	0	2	1	5	1	0	3	1	0	0	3	2	1	0	1	0	3	0	0	1	0	1	0	4	0	1	0	0	0	1	1	0	0	0	1	0	1	3	1	0	0	0	0	0	0	0	2	1	3	1	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	1	1	1	2	0	0	4	0	2	0	0	0	0	1	1	1	0	1	0	1	0	0	4	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	5	1	13	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	3	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	3	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	4	0	0	2	2	0	1	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	2	2	0	0	1	1	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	3	0	0	1	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0
turnitup!	2	1	6	6	3	1	6	4	4	2	5	2	1	1	3	2	3	6	7	3	0	8	5	2	1	11	0	4	1	2	2	5	3	3	5	1	7	1	2	7	1	7	1	4	4	0	3	1	3	1	0	7	3	1	1	7	4	2	1	1	3	3	0	2	6	2	4	0	3	5	5	1	17	5	0	0	0	1	4	4	0	1	1	2	3	2	3	2	3	4	3	6	3	8	6	6	1	2	3	3	2	1	2	0	1	4	5	2	2	4	1	1	0	3	0	0	2	1	2	7	14	5	4	6	5	10	1	2	1	5	9	2	2	4	0	4	0	2	2	4	0	2	8	5	0	3	0	3	0	1	3	0	0	2	2	1	0	0	4	2	0	2	0	1	1	0	0	0	2	4	0	4	4	1	1	1	2	1	1	2	1	2	2	2	1	1	2	0	3	3	2	1	3	4	0	1	2	4	4	0	0	7	1	10	0	1	4	1	1	1	1	4	0	3	2	2	1	0	0	5	0	3	1	3	1	1	1	0	1	1	1	0	7	0	4	0	0	7	0	2	0	0	1	1	1	0	0	7	1	2	0	10	0	2	2	3	0	1	5	1	0	2	2	11	0	3	5	0	3	3	0	0	1	1	3	1	2	2	0	1	0	1	0	1	0	3	1	0	0	2	3	3	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	1	1	3	1	2	0	1	0	0	1	0	0	1	0	1	0	2	0	1	0	1	1	2	1	0	1	2	2	0	0	5	0	1	0	0	3	0	0	3	1	1	1	0	1	1	1	0	0	7	0	1	2	0	1	1	1	0	3	0	1	1	1	2	0	1	0	0	3	3	1	3	1	0	0	0	1	0	2	0	1	3	0	1	0	1	0	1	1	3	1	2	1	0	0	1	2	1	1	1	1	2	0	0	1	1	0	0	1	1	1	0	0	1	0	3	0	0	0	0	0	1	1	1	0	1	0	2	0	2	1	1	2	2	0	2	1	2	1	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	2	0	2	2	1	0	2	2	2	0	1	0	1	0	1	0	1	2	2	0	0	3
Stories From the City, Stories From the Sea	0	2	2	5	2	1	2	3	0	0	2	1	11	2	6	1	2	1	0	1	0	7	0	7	1	0	1	3	3	5	2	1	1	2	0	6	1	0	0	1	1	0	5	0	5	1	1	5	0	8	1	1	6	1	0	0	3	0	5	0	0	2	7	0	0	0	0	2	0	3	14	5	9	5	1	2	0	0	7	1	2	2	0	1	0	3	10	0	0	12	0	0	1	1	3	6	1	2	1	0	0	9	0	1	1	0	2	0	0	0	0	0	4	0	4	0	0	6	1	0	2	0	1	0	2	0	1	1	3	0	0	1	1	0	0	9	2	1	0	1	0	3	0	0	0	24	3	2	0	1	0	0	0	1	0	0	2	9	0	1	4	0	0	0	0	4	1	1	2	1	1	0	0	0	0	2	7	0	0	1	5	0	1	1	0	3	0	1	0	5	1	6	4	0	0	0	3	1	2	0	1	10	1	1	9	0	0	0	3	7	0	1	1	4	1	2	0	9	2	3	0	2	0	3	0	0	3	0	4	0	4	0	5	4	0	8	0	0	0	0	2	0	0	2	1	2	0	1	0	4	0	1	0	0	0	0	0	1	0	0	3	0	0	0	4	13	0	0	0	0	0	8	0	3	0	1	1	5	4	0	1	1	0	0	0	0	6	4	1	1	0	0	1	0	0	0	3	3	4	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	2	6	0	29	0	0	1	0	0	0	1	0	0	0	3	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	9	0	0	0	3	0	0	0	0	2	0	0	0	4	0	11	2	1	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	1	0	0	0	3	1	1	4	4	2	0	1	5	0	0	0	1	0	1	2	3	1	1	0	0	4	0	0	0	1	0	1	6	2	9	0	0	0	7	2	0	3	6	6	0	0	0	0	0	0	4	0	0	0	0	6	1	1	0	0	0	4	0	0	1	2	3	1	1	0	1	0	0	0	0	4	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	9	1	3	0	1	0	0	0	0	0
A H T A P O T	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Floorshime Zipper Boots	3	0	1	0	2	0	4	0	2	0	0	0	2	1	1	0	0	8	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	1	2	0	0	3	0	0	0	2	0	0	2	0	0	0	2	0	0	2	1	1	2	0	0	1	0	0	4	0	5	2	0	0	0	4	0	0	3	0	0	4	3	0	0	0	0	0	4	0	1	1	0	0	5	0	1	1	0	1	0	0	1	0	1	0	0	0	0	5	4	3	1	0	0	0	0	3	1	0	5	1	0	0	0	0	4	1	0	0	0	4	8	2	0	2	1	0	0	0	31	2	14	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	3	0	1	0	0	1	1	0	0	2	1	10	0	2	25	1	11	0	2	0	0	0	1	3	0	0	1	0	0	0	0	0	3	1	1	0	0	4	0	1	0	6	0	1	0	0	1	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	10	4	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	6	0	23	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	8	0	0	0	1	0	0	0	4	0	0	10	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	1	1	0	0
Did Not Chart	1	8	1	3	3	5	3	6	1	6	6	4	4	2	8	13	3	2	6	26	4	1	8	4	1	12	4	1	6	3	4	4	1	3	1	1	7	3	4	2	1	4	0	3	0	2	9	2	6	3	0	6	0	1	1	2	7	3	0	3	8	0	1	3	5	6	7	1	3	0	0	1	21	0	4	2	6	2	4	5	3	4	2	1	21	13	1	1	2	0	5	3	0	0	2	1	12	0	7	5	7	6	2	0	0	3	1	0	0	0	7	2	2	3	0	0	3	0	3	3	7	0	2	2	4	5	0	3	2	2	3	0	1	1	8	6	1	0	2	4	1	3	0	7	6	3	2	1	1	1	3	2	1	5	0	1	3	0	3	1	3	0	1	2	5	0	4	2	4	10	2	1	2	1	3	3	0	23	5	0	1	1	2	1	2	4	3	1	0	1	1	1	1	2	1	1	1	2	1	2	4	0	3	1	4	1	0	2	1	14	1	0	0	1	2	3	1	0	2	0	6	1	3	2	0	2	1	3	4	1	3	4	2	4	4	2	4	7	1	1	2	2	3	1	0	0	0	3	0	1	0	8	6	2	0	0	2	3	2	3	0	1	1	1	2	1	2	1	3	1	2	0	0	0	3	3	2	1	1	1	2	0	0	0	2	0	0	1	0	0	3	2	0	0	0	2	0	1	7	1	3	2	1	5	0	3	0	0	4	0	3	4	1	0	3	0	4	1	1	3	1	0	0	3	3	2	0	0	3	0	0	1	4	2	2	0	0	3	0	3	2	0	0	2	1	0	1	0	1	0	2	1	0	1	0	1	0	0	1	1	1	1	0	0	1	2	2	1	1	0	2	1	1	8	2	0	0	0	1	3	7	0	2	3	2	1	1	0	0	0	1	0	1	1	2	0	0	0	3	1	0	0	12	2	1	2	0	1	1	0	3	2	0	11	0	1	2	2	3	0	1	1	1	2	6	0	1	1	0	0	0	0	1	0	0	0	1	0	2	1	0	1	0	1	1	0	1	1	2	2	0	0	1	0	0	4	1	0	0	0	1	0	1	0	9	1	3	3	0	0	1	0	0	0	1	0	2	2	0	1	0	1	1	0	0	0	3	0	0	1	0	1	1	1	0	1	0	1	1	9
